ID,Start time,Completion time,How often do you typically attend Sunday worship services?,"Beyond Sunday worship, in which PHCRC ministries or groups do you regularly participate?",Please describe what you most appreciate about PHCRC's worship services.,"What changes or additions, if any, would you suggest for our worship services to enhance your spiritual experience?",Do you feel the current blend of traditional and occasional contemporary music in our services effectively meets your spiritual needs? Please explain.,What proportion of traditional vs. contemporary music would you ideally prefer in our worship services? Consider 1 as totally traditional and 5 totally contemporary.,How would you describe the current level of member involvement in planning and participating in liturgy/worship? Consider 1 as no involvement at all and 5 as too much.,"Are there ways you would like to see more members, or new members, involved in worship leadership, music, or technology?",Which of our current discipleship programs have you or your family members found most beneficial? (max of 3),What new or expanded ministries for spiritual growth would you like to see for yourself or other age groups within the church?,"How can PHCRC better foster a sense of belonging for members, especially those who may struggle with commitment beyond Sunday mornings?","How well do you believe PHCRC is currently living out its mission statement: ""EQUIPPING DISCIPLES TO BECOME NEIGHBORS; INVITING NEIGHBORS TO BECOME DISCIPLES""? Please provide examples.","What are your thoughts on our current community outreach efforts (e.g., community nights, GEMS/Cadets, prayer walks, food pantry, Family Promise)? ",What new or expanded community outreach initiatives would you like to see PHCRC pursue?,"Do you feel our missional focus is adequately balanced between ""local and global"" efforts? Consider 1 as not balanced at all and 5 totally balanced.","In what ways do you believe PHCRC is effectively responding to ""compassion, mercy, and justice needs""? ","What additional actions, either church-based or personal, could we take to address these needs in our community and beyond?","From your perspective, what are PHCRC's greatest strengths or gifts as a church today? ","Thinking about PHCRC's challenges with welcoming new members, bridging age gaps, and embracing diverse families and backgrounds, which of the following best reflects your perception?","Which of the cultural challenges listed below do you feel are most pressing for PHCRC, and how can a new pastor help us navigate them?","What does being ""Christians of Reformed accent"" mean to you personally, and how do you see this reflected in our church life?",What is your perspective on PHCRC's relationship with the Christian Reformed denomination today?,"What are the most important goals or opportunities you envision for PHCRC in the next 3-5 years? (Consider the stated goals: expanding kids/youth, expanding diversity, growing community outreach).","Beyond the general responsibilities of a Minister of Worship and Leadership, what specific gifts, skills, or personal characteristics are most important to you in our next pastor? (Consider how th...",How do you prefer to see leadership shared between lay leaders and pastoral staff in our church?,"If you could identify one or two top priorities for our new pastor to focus on in their first year, what would they be? (e.g., fostering belonging, enhancing diversity, strengthening youth program..."
28,11/17/25 12:20:24,11/17/25 12:40:53,Weekly,"Dwell, Gems, Cadets, or other youth programs;Community Nights;Small Groups: Equip Group, Oasis Group;","I appreciate the order of worship.  Singing, scripture, prayer, singing - all mixed together as opposed to many churches that will sing for 30 minutes + at the start.  I also appreciate the medium size of our church.  While certainly our pews could be fuller, I am not looking for a ""mega church"" - I like knowing almost everyone who attends.","Some more up to date songs would be nice.  I do like hymns, but we could do some that aren't hymns.",Could do a little more contemporary.  I like mostly traditional though.,3,2,I am fine with the level - some people participate up front.,Dwell;Cadets;Small Groups;,I am ok with the level that it is.,Not sure.,I think well.  I like the Community Nights.  Food Pantry is another good example.,I think they are great.  We get a lot of kids / families attending the community nights and DWELL/GEMS/CADETS that don't go to our church on Sundays.,not sure,3,"Food Pantry, Family Promise, Friendships are examples.",not sure,Youth program ministries;Community presence;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;","Bringing in, welcoming, and committing to the inclusion of community members into church life;","If I'm being honest, I had to google this to understand it.  

God is in control.  We are saved by grace, through faith.","I haven't heard much of an update on this, which I don't love.  I think the views of the CRC today are why you see many people leaving the CRC church and in our case, leaving our church due to the CRC combined with the fact that we don't have a pastor.  While I have heard that council discussed this, I don't think much discussion happened with the church body.","Getting a pastor who will serve as a leader during worship and for our church as a whole.  I love the people who go to our church, and that is what keeps us there.  My kids love going, and they have good friends and really enjoy the kids programming.  In my stage of life, I don't have time to be doing a lot of the other activities at the church.  But I would love feeling more engaged during the church service, and feeling like we have a pastor/leader who connects with the congregation, wants us to learn, and leads us.","Ability to lead.  Ability to address conflict.  Ability to feel like a real person vs. someone who is just saying the ""right"" thing.  Strong public speaking skills.",Not sure.,Fostering belonging.  Connecting church members that exist today.
29,11/17/25 10:52:01,11/17/25 13:09:12,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;",The truth of the Bible is preached in a way easy to understand; the sermons are challenging and encouraging.,None,I am glad that the music is on the screen as well as the words to music. ,3,4,I have no ideas on this.,,"I am elderly and do not drive any more, so am limited in my involvement.",No ideas on this.,I observe so much love for the Friendship participants who come to church.,"From the reports we receive in church it appears that there are community people coming to the food truck, and the Wednesday night events.",I have no ideas ,4,I have been the recipient of care and concern from members of my household group and other members of the congregation when I have had health challenges.,This is an area that I believe Plymouth Heights is exceptional.,Leadership;Worship services;Community presence;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Nurturing young people to join, participate, and grow into lifelong, active church members ;",The importance of Biblical preaching and teaching and living a life reflecting that in every aspect.,I agree with the decision to remain in the CRC.,Our church youth and children first and growing community outreach.,"Easy to talk with for all ages of people, flexible.","Certainly that they can all work together with a common goal, as it appears they do right now.",youth programs and community
30,11/17/25 14:40:49,11/17/25 18:16:24,Weekly,"Small Groups: Equip Group, Oasis Group;","Solid, biblical preaching.  Digging deep, historical and geographical context. Clear application, yet room for us to ponder the message and search our own hearts for the message God has for us.","I love the brass, and would always enjoy hearing more of them! I appreciate incorporating new music also, perhaps new praise songs that are often easier to catch onto.","Personally, I do believe we have a healthy blend, being mindful of our many personalities and needs within the congregation.  I love the drums and guitars, and the organ, especially when the organ seems to really display it's full potential! I also appreciate the strings and the bells. ",4,3,I feel we have a good representation of member involvement in the services.,Small Groups;Mobile Food Pantry;Friendship Group;,"Just wondering if the young families have opportunities for the parents to gather, while childcare is provided? I know it's not easy to find nursery care providers, and so this ministry may be hard to fulfill. I'd love to see ministry focused also for young singles, perhaps making it more generally known to the community, to pull from outside P.H. also.","Perhaps smaller, household gatherings of various kinds.  The elder and deacons would have to determine what works best for them in terms of hosting an event.  I recognize not all council members have the means to offer this.  Perhaps household newsletters of some kind....keeping things simple","I feel the church has made many advances in being community/neighborhood focused.  But actually bringing more neighbors into our church services continues to be difficult and not happening to the degree we would hope for.  I believe we must be continually urged to be mindful, and on the lookout for new folks who may attend an event, and to be welcoming of them.  By this I mean not only visitors on Sunday, but also to each other, that may unexpectedly show up to help in a new way.  People sometimes need a personal invitation to join in, and when they do, we need to be welcoming and inclusive!! Smiles and friendliness go a long way to encouraging volunteerism.","Community Nights, Food Pantry and GEMS/Cadets are great ministries, I just wish they would be more impactful in terms of bringing people in, as active seekers of the Lord. It is possible that even as families visit the church during one of these ministries, they may feel a connection to us, so that in times of difficulty, we may be able to minister to them on a deeper level... that they would remember our availability to them.  I'm glad Pastor Stan makes himself ""seen and approachable"" during these events, introducing himself to the neighbors.    ","Do we extend an invitation on our lighted sign to neighborhood families for our GEMS/Cadet programs?    I don't usually see the lighted sign during the week, but I'm wondering if we are using that to intentionally (and ""eye catchingly"") extend invitations to events, including Sunday morning....do the messages need to be refreshed?  Could we invite passers-by to call into the office with prayer requests, that church members could remember in their personal prayer time? Again, I'm sorry for my ignorance, but I don't typically pass the sign as I go by the church throughout the week.  Would the basket ball night be an option again?  Or VBS?  ",5,"I believe our council, particularly the deacons, are responding to needs they become aware of, both inside and outside of the church membership...that's great.  Other than that, I'd say as requests are made known to us, we typically try to respond, such as providing winter coats, or the reverse offering to collect food.  ""Justice needs"" would be harder for me to think of a way we are responding. ","Maybe helping neighbors prepare their taxes, or school supplies for their kids in the fall, or winter gear before the snow falls.  Maybe an old-fashioned prayer walk, or even knocking on doors for prayer requests....I know that last one is a real stretch.  I also know many of these ideas take funds, and people being willing to contribute.  Maybe a couple of our benevolence offerings could be ear-marked for the purchase of school supplies or winter gear.",Worship services;Youth program ministries;Community presence;Leadership;Sincerely seeking God's guidance;,"We struggle with including diverse family structures, alternative lifestyles, and people from different ethnicities and cultural backgrounds.;We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;","Busy lives/competing priorities ;Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;","I feel what we are saying as Reformed Christians, is that our salvation comes through faith, by Grace, our through our gratefulness we respond with service.  It feels like sometimes that amazing gift of our salvation is taken for granted over time, and it becomes harder to respond with gratefulness and a sincere desire to serve.    ","I'm totally disappointed with the CRC.  I love my church home and so I stay.  But I believe the CRC is  unwelcoming, and to the degree that fact has been announced in the media, we have a strong up-hill climb to reach the loss, regardless of where they may personally stand on certain issues...we're just known as an unwelcoming denomination, and they would go elsewhere to find acceptance and love that is modeled after Christ.   It saddens me.","These areas are all closely related I believe.  Our ""growing community"" could ""expand our diversity,"" and vice versa.  Susan Post is doing an amazing job with our little ones, let's just hope they are still with us as they enter high school and beyond! I think these are great goals, but some may be much easier to reach than others, due to our CRC alliance. ","I really believe it is building relationships that will impact his/her ministry and is a model for all of us, as we strive to be a caring church. Again, I appreciate when Pastor Stan makes himself available to people.  Standing at the top of the stairs as people leave worship, and offering to pray with people after the service, making himself available to the food pantry recipients, and initiating the prayer meetings.   ","I'm very open to a new model of church leadership.  It's about finding the right people for each role, based on their gifts and skill set. ","Fostering belonging, but they're all so important!!  "
31,11/17/25 20:32:47,11/17/25 21:18:25,Weekly,"Small Groups: Equip Group, Oasis Group;Mobile Food Pantry;Council;",Biblical basis; good preaching; good variety of music,"As I have suggested to some worship leaders, I think we could sing at a faster tempo for many songs.  This may just be personal preference, but I think slow tempo could discourage participation and visits by younger people and families.",Yes,3,3,I think participation is good now; more participation is welcome if others are willing and have gifts.,Small Groups;Cadets;GEMS;,I am happy that we have 2 adults teaching catechism; I am happy someone is getting retirees together occasionally.,personal relationships grown after worship services and outside of worship services,"I think we do very well equipping disciples and are weaker on inviting neighbors.  For actual physical neighbors of our church, I think Pastor Sarah has made good starts in the actual neighborhood of church.  We are no longer a church where many congregants live in the neighborhood.  So ""inviting neighbors"" needs to be seen as figurative neighbors for many of us.",I think they are wonderful.,"Somehow actually inviting physical neighbors via flyers, personal contact by members.  Also finding a second pastor who has interest and gifts in ""inviting neighbors"" as well as the ability to teach others how to reach out more.",4,"food pantry, personal relationships within organizations, support for Crossroads Prison Ministries","more involvement in outside organizations, but I don't have any particulars in mind; welcoming former prisoners in some organizational way (scary at times)",Leadership;Worship services;Youth program ministries;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;","Busy lives/competing priorities ;Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;","I remember a philosophy professor frequently saying, ""All of life is religion.""  This did not always mean something positive - it could mean greed or lust or hedonism was religion, but everyone had something that was their religion.  Being a Reformed Christian SHOULD mean we are constantly trying to re-form society and sin into something God-glorifying; being willing to use Jesus' name positively with strangers; re-forming our own lives to show thankfulness for Grace; letting the Holy Spirit guide our actions and tongues; re-evaluating whether our doctrines truly reflect scripture and our understanding of God's world.","At this moment I believe we are unified in our mission as a single congregation which feels and believes a variety of things about our denomination.  The decisions and new rules surrounding the Human Sexuality Report are viewed in a wide variety of ways.  Some of us agree entirely with recent Synodical decisions; some of us agree with the HSR but not new restrictive rules and decisions or about modifying the Heidelberg Catechism; some of us disagree with both the HSR and new rules and modifications of doctrine.  However, I sense we STILL want to hold together as a congregation with a mission and many programs, and remaining in the CRC is a practical way of continuing to function as a diverse group unified in worship, friendships, support, mission, programs.","Outreach in general - following the Great Commission - is primary.  That can be pursued by expanding children's outreach.  I love the racial diversity in our congregation, even though it is currently a small amount.  Whenever we have opportunity to expand our racial (or other types of diversity - other-abled, age, ethnic origin, etc.) I think we should work hard to make it happen.  However, I don't think diversity is to be pursued for diversity's sake - we want to embrace and celebrate it when the opportunities arise.",sense of humor; humility about own imperfections; ability to talk to anybody,"about the way it happens now, although if we had more ""non-seniors"" (20s - 50s) I'd like to see a bit more lay leadership",community engagement / outreach
32,11/17/25 20:36:00,11/17/25 21:24:09,Weekly,Kitchen Service;,The music and sermon.,More contemporary music.,I would appreciate a bit more contemporary music.,4,3,,Small Groups;,,I believe the coffee fellowship and periodic church or household meals are fostering belonging. ,"I believe PHCRC is doing a fabulous job of living out the mission through the mobile food pantry, GEMS, Cadets, Friendship, family nights in the neighborhood, amd support of other ministries and missions domestically and globally.",I believe the current outreach is valuable and making a positive impact in the neighborhood and community. ,,4,"I believe the food panty, Friendship, Crossroads ministry, and the church's support of Safe Haven Ministries, Pine Rest, and the domestic and global missions are all responding to compassion, mercy, and justice needs.","Contributing to cloth and food drives, and volunteering at organizations like Kid's Food Basket, Home Repair Services, and Habitat for Humanity can be valuable.",Worship services;Community presence;Youth program ministries;Value for diversity;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Busy lives/competing priorities ;Bringing in, welcoming, and committing to the inclusion of community members into church life;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;","Being a believer in God our father, Jesus Christ the son of God who died on the cross to forgive us of our sins, and the Holy Spirit leading us in our faith walk.  It is reflected in the ministry, worship services, and the many groups and ministries supported by the church.","I understand the church leadership has decided to continue it's relationship with the CRC despite differences of thought within the church on the Synodical position on the HSR. For those who are not in full alignment with that position it is unfortunate that future leadership opportunities will be denied, ",I believe expanding kids and youth is the most important goal. ,"I think the next pastor should be a gifted minister/teacher able to deliver sermons that are relatable to those who have years of experience studying the bible and faith, as well as those who are newer to the faith.

The minister should be engaging and able to connect with people of various backgrounds.",Small group meetings.,Fostering belonging and strengthen youth programs.
33,11/17/25 19:13:18,11/18/25 6:22:05,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;","The excellent preaching, variety of music, heartfelt singing, meaningful liturgies.",Additional involvement of the youth in worship.,This blended approach to worship seems like the most beneficial way to praise God in a multi-generational church.,3,3,,Book Clubs;Choristers;Strings 'n Things;,I don't see a need for additional ministries for spiritual growth.,"I think it is important for members to seek out different people to talk to, either visitors or other members that are not a regular part of their friend group or age group.","The ""equipping"" is accomplished well with biblical preaching, book and Bible studies, small groups, plus the myriad faith development opportunities for our youth. While we have a few ""inviting"" ministries that are very effective at reaching out, I would like to see a greater emphasis on encouraging individuals reaching out to neighbors and acquaintances. Perhaps a congregation-wide book study on the topic of reaching out and mentoring/discipling.","For a church our size, it seems like we have an outsized number of outreach programs. Many of these are thriving programs with a deep impact. ","Rather than an additional ""program,"" I would like to see an emphasis on individuals living out our mission organically and in their own unique setting.",4,The aforementioned programs and our active benevolence program are very effective in carrying out command of Micah 6:8.,"Again, I would like to see a push toward personal fulfillment of reaching the community around us as a way of life. Adding more church programs and the requisite leaders and volunteers would only lead to burnout in my opinion.",Value for diversity;Worship services;Youth program ministries;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,"Bringing in, welcoming, and committing to the inclusion of community members into church life;Nurturing young people to join, participate, and grow into lifelong, active church members ;","As a Reformed church, the preaching of the word—both Old and New Testament—is a vital aspect of worship. This preaching should adhere to the principles of our three confessions. A Christian lives out her/his faith in a life of deep gratitude to God and service to others. The manner in which we greet one another and visitors in worship and our fellowship after worship reminds me the early church as recorded in Acts 2 and 4.","While the current exclusionary stance—not to mention the strident and judgmental voices of a few—saddens me, the Christian Reformed Church remains a faithful denomination with strong sense of mission in this world. At this point, I think it is a net positive that we remain a Christian Reformed Church.",One vital aspect of a thriving church is a rich diversity of ages. There is a clear trough in our current membership for those in their late teens and twenties. These young adults are the future of a church both in terms of leadership and future youth through their offspring. Having Calvin University only two miles from church seems a rich vein of prospective members. I would encourage PHCRC to make it a priority to invite and involve Calvin students. ,"In my opinion, essential gifts would be: a servant leader, an excellent preacher, and a warm, welcoming demeanor. Pastor Stan continues to demonstrate these gifts in spades.","I feel it is important that there be a healthy collaboration between council and the pastor. One effective check for potential unhealthy top-down approaches to leadership is to have the president of elders be a lay leader as opposed to the current practice of having the lead pastor serve as president. Having served in another church where this was practiced, I saw first hand the healthy give and take that resulted. Serving on council during our previous pastor's tenure, I witnessed unhealthy situations both in terms of creating the agendas and in chairing the meetings.","First, the pastor should focus on Spirit-led, impactful preaching, and second, spearheading outreach to young adults to fill the demographic gap that we (and most churches) see."
34,11/16/25 18:32:49,11/18/25 7:42:42,Weekly,Strings 'n Things;,"Every Sunday morning I am eager to come and see my beloved brothers and sisters, worship by singing meaningful songs together, be fed, comforted and challenged by the word of God, and receive a blessing to bring into the week ahead.",None,Yes,3,3,,"Strings 'n Things;Book Clubs;Music programs: youth choir, choristers, worship teams, etc.;",,"Consistent care of households by council--making sure that all members are remembered and kept in touch with, and not just those with acute needs. ",Some members are effectively inviting Calvin students to worship and Sunday lunch.,"Our best outreach efforts are personal and informal. We have wonderful worship services to invite people to attend, a variety of programming through the week, and many opportunities for community members to plug in by volunteering.",,5,"For several years, Strings N' Things has been ministering to blind young adults by picking them up and spending an afternoon assisting with crafts and sharing joyful, life-giving conversation. This is just one example of a Plymouth Heights program that was created mainly for members to enjoy fellowship, but by the Spirit's leading has grown to become much more.",Never be flagging in zeal--serve the Lord!,Value for diversity;Worship services;Youth program ministries;,The congregation does a good job welcoming new members and embracing diversity; these aren't significant concerns.;,Busy lives/competing priorities ;,"The label is not significant, and can be problematic in building relationships with the unchurched or with Christians outside of the Reformed faith tradition.","I see this relationship as problematic for Plymouth Heights, given the events of the last couple of years. Our unity in Christ has been strained—tense relationships with friends, family members, and neighbors in churches that have left the denomination—and the faith formation of our children and young adults has been negatively impacted. While I don't wish to separate from the denomination, I also don't think it wise to lean into the denominational label right now.",Lean into our strengths and persevere in the areas where the Spirit is already leading. ,"Biblical preaching that helps worshippers grow in the grace and knowledge of Jesus Christ.
A willingness to lean into the Spirit for wisdom and love in ministering to all—in our multi-generational, racially diverse, variously-abled body of believers.","It seems that we are over-staffed at this time, given our current membership levels. Perhaps it would sufficient to have one full-time Minister of Preaching and Leadership, and one part-time Pastor of Congregational Care (10-15 hours per week).","Fostering belonging of all, which in turn makes us beautiful and appealing to the community."
35,11/18/25 12:44:20,11/18/25 13:23:37,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;Community Nights;",Being in a familiar place with people we know and care about.,My preference would be for a less formal worship service. It is easy for me to get caught up in trying to keep up with all the liturgy and songs I am not familiar with and not having a chance to just let the flow of a more causal service allow me to rest in God's presence.,No. I can't say that I always look forward to going to Sunday worship when I see the list of songs that come out in the email. For me the issue is not one of traditional vs contemporary per se as much as song choices that are unfamiliar to me and what seems to be a majority of the congregation just so that a song that might perfectly fit the sermon topic can be included. When I worship outside of PHCRC I feel more connected to the Spirit during song than I generally do at our services. ,4,1,I would like to see a functioning worship committee that isn't chaired by a staff member. There has been a lack of outside ideas for too long. ,GEMS;Cadets;Book Clubs;,I would like to see a women's bible study that incorporates more of the younger women in the church. ,Offer more social outings. Use the pulpit during the service for announcements or even a sermon series to encourage belonging and hospitality. ,"The outreach efforts listed in question 13 are good examples of how we live out this mission statement. I can't say how intentional staff is about weaving it into everything we do. It seems like the opportunity is there, but the congregant needs to take the initiative rather than being led. ",Community Nights could use a bit more focused effort on the part of a broader group of congregants to connect with neighbors. GEMS/Cadets does a fabulous job as does food pantry. I'm not familiar with prayer walks and unaware of what involvement we continue to have with Family Promise.,I would like to see us purse college age young adults with volunteer opportunities as well as disciplining. The current worship service style seems to be the biggest barrier to brining the next generation in who will continue to support our current outreach efforts in the future. ,3,"We support these through benevolence giving, sermons and community outreach efforts. ","We could partner with other local churches on initiatives. I think our current base of volunteers is as stretched as they should be, but one time opportunities offered by partner churches may allow for more participation. ",Youth program ministries;,"We have noticeable age gaps in our community, and we're missing voices from younger and older generations.;","Nurturing young people to join, participate, and grow into lifelong, active church members ;",It means we view the world as God's kingdom coming and actively work to bring it about. We have hope in God's promises and know he is sovereign over all. ,The relationship is primarily based on tradition. Between the HSR and Pastor Ben leaving for a denominational position I don't feel like it is a cozy relationship. ,Filling in the 18-30 year old gap in membership. Training and encouraging our youth so that they retain their faith. ,Plymouth needs a pastor who is willing to befriend anyone and everyone in the congregation. They need to be willing to dive headfirst into community and help build that community. ,I would like to see the pastoral staff as trusted advisors to lay leaders who then make decisions for the church. ,Fostering belonging and embedding themselves into our community. 
36,11/18/25 14:42:51,11/18/25 15:58:06,Weekly,"Small Groups: Equip Group, Oasis Group;Adult Book Studies: Guys Group, Ladies' Bible Study;Mobile Food Pantry;Friendship Group;Community Nights;Prayer warrior;","Biblically centered, a clear flow, music that fits the theme of the sermon and the place in the service.
Quality music, both as performed and as there is care in seeing that the words are solidly biblical. Monthly celebration of Holy Communion.","I would like to see discussion on weekly Communion.  An intentional effort to include at least one or two songs that are familiar, along with introducing new songs as they fit the theme of the service.","Yes, it does for me.  I appreciate the quality of the organ and other instruments that accompany the singing.  I value the introduction of quality new songs that are singable and theologically sound.  ",3,2,"I'm glad to see young members involved in technology, plus having youth do the Scripture reading at times.  Keep up using members for the congregational prayer.  Continue to ""showcase"" our ethnic diversity from the platform.",Small Groups;Friendship Group;Worship;,A seniors ministry that maintains some element of service as well as coffee and donuts.,"Encourage/arrange in home fellowship meals where new members or fringe persons could be invited to meet with more involved people/families.
Train council members to be more intentional in building relationships with persons in their household.",I think this is a great aspirational statement.  We're probably better at the second half than the first.  We do invite new attenders to join an equip group or to get involved with others in ministries like the food pantry and Friendship.  I see less emphasis on and training in neighborhood evangelism.,"Wednesday night activities are great - lots of noise and action in the building.  Food pantry meets needs of many neighbors, though the pre-COVID gathering indoors for breakfast really was a great outreach (I doubt there's the people capacity to return to this.)  I miss the Family Promise direct involvement.","Could we resurrect the open gym nights (basketball), maybe in partnership with another congregation?
Maybe restructure our staff to include a person specifically focused on community outreach and how better to meet the needs of people contacting the office needing food or rent or utility payments.",3,"Janeen is a good ""face"" to the community.  Dan Johnson puts hands and feet to our mercy ministries.  Not sure how benevolence fund is being used, but it is important.  Our Meijer partnership for the food pantry is exemplary.",I'm not sure.,Value for diversity;Youth program ministries;Worship services;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;We struggle with including diverse family structures, alternative lifestyles, and people from different ethnicities and cultural backgrounds.;","Nurturing young people to join, participate, and grow into lifelong, active church members ;Busy lives/competing priorities ;","Worship that is God-centered, in dialog with God's people.  A call to see ""every square inch"" as God's realm for work.  Seeing God in covenant with God's community.
I see this reflected in our worship style and in preaching that is not just ""God and me"" but ""God and the world"".  ","Troubled.  I personally find it very difficult to identify with the way the CRC has changed in the last five years.  I'm troubled by the emphasis on building walls to keep out the ""less pure"" and the demand for uniformity, not unity.  I'm not going to advocate Plymouth revisit its decision to stay a part of the CRC but I would like more conversation about what place there is  at Plymouth for persons who are non-binary or who are same-sex attracted, as well as for persons who are advocates of a more open posture than the CRC has taken.  Is there room for me?","More open communication between leadership and congregation.
Creative brain-storming opportunities.
Celebrating God's faithfulness over 75 years while not getting stuck in trying to return to the ""glory days"".","Exceptional inter-personal skills, both as relates to staff and to members.
Able to hold strong personal beliefs without alienating people who see things differently.
Engaging preacher.","In this time of staff transition (both lead pastor and worship leader), we need to empower existing staff to do their work with support from lay leaders.  Lay leadership (council) should be more transparent with the congregation on what is being planned and considered.  I wonder if there should also be a way found to have staff feel free to pick the brains of a small group of non-council people who have shown maturity and creativity in the past, even while they are not in an official capacity.  I hope the next lead pastor will be someone who will work closely with the council leadership and especially with Pastor Sarah.  She continues to be a bright spot in the life and ministry of PHCRC.","Get to know the community and find points of contact with other churches/agencies/ schools that serve the Southeast Side.
Take time to listen to Plymouth attenders, both long-time and especially newer participants, hearing their joys, struggles, and vision for Plymouth Heights."
37,11/18/25 16:19:13,11/18/25 17:18:22,Weekly,"Adult Book Studies: Guys Group, Ladies' Bible Study;Dwell, Gems, Cadets, or other youth programs;Strings 'n Things;Community Nights;","I continue to appreciate the liturgy, the variety of music, the purposeful preaching of the gospel and participation of so many different people in our congregation",Continue to find songs that have words that specifically drive the theme of the sermon/service home,"I think it is good. I love the guitar, drum, violin, trumpet, organ involvement. It is being done at a very good level",3,3,"Greeting - not sure why that needs to be 2 elders, ",Friendship Group;Strings 'n Things;Mobile Food Pantry;,adult Education Opportunities,"Dine with Nine - It is done at Woodlawn CRC. 9 people assigned to a group that gets together at least quarterly for a meal either potluck, restaurant, or hosted. ( people to be sure singles are involved).
Other people helping with the greeting ie, Adelita really wants to greet but has been told it is just for Elders",I think we are doing OK. I think Pastor Sturing has really done a nice job in reaching out to people who stop by church or come to community nights. I would like more involvement with this and the members. I am afraid that this will change if Pastor Sturing leaves.,No longer doing Family Promise. All need to continue,Not sure,3,"Benevolence funds, Food Pantry. ",How can I reach out to the queer community and benefit from their rich personalities and qualities within the constraints of the CRC? I don't feel like I have to leave the CRC to minister to this marginalized population and benefit from their gifts,Worship services;,"We struggle with including diverse family structures, alternative lifestyles, and people from different ethnicities and cultural backgrounds.;","Busy lives/competing priorities ;Recognizing and understanding the issues surrounding gender identification and non-traditional relationships;Nurturing young people to join, participate, and grow into lifelong, active church members ;",I am saved by grace through faith. Nothing that I do can buy me salvation. It is only through the shed blood of Christ who died for my sins. ,I disagree with the CRC but with the current instability of PHCRC and not having a full longterm leadership staff I don't feel like PHCRC would survive a disaffiliation. I love the congregation of PHCRC and am not ready to see it split at this time.,"I think we need to work to get to the point where we can get enough people who are willing to volunteer to keep things moving along. I am concerned for the few people who seem to be bearing the load. I know it is more than a few, but with current structure, but if we continue, I don't see how we are even going to get enough people to fill council again next year.","Motivating, encouraging, strong leadership skills with thick skin","I think our council needs to be restructured where we have administrative council members and caring or visiting members. I also think we need to have someone, separate from the pastors, who do a lot of the administrative work at church","Again, whatever needs to happen to get more people who are more willing to be involved. It used to be that if you were chair of a committee, you didn't ""need"" to be involved in council as well. I think those days are done. "
38,11/19/25 9:51:48,11/19/25 10:03:36,Weekly,"Small Groups: Equip Group, Oasis Group;Adult Book Studies: Guys Group, Ladies' Bible Study;","Biblically based and well planned out services.  Beautiful music,",Adult Sunday school for after church.  Silent prayer within the services.,"Yes, there is a good blend.  My favorite is the traditionsl music.",2,3,I think there is quite a bit already. ,Small Groups;,Adult Sunday School,Adult Bible studies and Sunday School,We could do more with evangelism… studying it as a body of Christ and then applying it.,More prayer walks,,3,friendship and mobile food pantry,Perhaps Vacation Bible School in the summer,Worship services;,"We welcome people warmly, but new members often don't feel they truly belong or become integrated into the congregation.;","Bringing in, welcoming, and committing to the inclusion of community members into church life;",All of our lives are worship and every square inch of this earth in the Lord’s.,I hope Plymouth stays with the denominational stands.,Growing community outreach,Warm and approachable.,There is to be a balance with pastoral staff leading the way. ,Fostering belonging… adult programs to integrate new members with current members
